99AA03-0817-8375	
This data is for reference only	
981	0.9876
982	0.9867
983	0.9861
984	0.9872
985	0.9876
986	0.9868
987	0.9867
988	0.9867
989	0.9871
990	0.9862
991	0.9865
992	0.9875
993	0.9873
994	0.9871
995	0.9874
996	0.9881
997	0.9879
998	0.9865
999	0.9856
1000	0.9860
1001	0.9872
1002	0.9877
1003	0.9881
1004	0.9876
1005	0.9871
1006	0.9873
1007	0.9873
1008	0.9878
1009	0.9873
1010	0.9868
1011	0.9868
1012	0.9869
1013	0.9872
1014	0.9869
1015	0.9871
1016	0.9876
1017	0.9870
1018	0.9869
1019	0.9871
1020	0.9872
1021	0.9870
1022	0.9871
1023	0.9869
1024	0.9871
1025	0.9863
1026	0.9867
1027	0.9873
1028	0.9876
1029	0.9876
1030	0.9873
1031	0.9871
1032	0.9872
1033	0.9874
1034	0.9870
1035	0.9865
1036	0.9872
1037	0.9875
1038	0.9873
1039	0.9867
1040	0.9868
1041	0.9866
1042	0.9868
1043	0.9867
1044	0.9872
1045	0.9881
1046	0.9875
1047	0.9868
1048	0.9869
1049	0.9875
1050	0.9876
1051	0.9870
1052	0.9867
1053	0.9868
1054	0.9870
1055	0.9867
1056	0.9866
1057	0.9865
1058	0.9871
1059	0.9870
1060	0.9870
1061	0.9868
1062	0.9865
1063	0.9863
1064	0.9872
1065	0.9873
1066	0.9869
1067	0.9873
1068	0.9872
1069	0.9875
1070	0.9871
1071	0.9864
1072	0.9865
1073	0.9867
1074	0.9872
1075	0.9867
1076	0.9869
1077	0.9870
1078	0.9868
1079	0.9868
1080	0.9868
1081	0.9866
1082	0.9869
1083	0.9866
1084	0.9869
1085	0.9870
1086	0.9865
1087	0.9865
1088	0.9874
1089	0.9870
1090	0.9864
1091	0.9869
1092	0.9867
1093	0.9867
1094	0.9869
1095	0.9867
1096	0.9869
1097	0.9869
1098	0.9865
1099	0.9867
1100	0.9874
1101	0.9868
1102	0.9866
1103	0.9867
1104	0.9866
1105	0.9871
1106	0.9872
1107	0.9870
1108	0.9871
1109	0.9869
1110	0.9872
1111	0.9868
1112	0.9872
1113	0.9873
1114	0.9873
1115	0.9875
1116	0.9868
1117	0.9876
1118	0.9869
1119	0.9867
1120	0.9864
1121	0.9869
1122	0.9868
1123	0.9869
1124	0.9876
1125	0.9868
1126	0.9866
1127	0.9865
1128	0.9870
1129	0.9870
1130	0.9865
1131	0.9871
1132	0.9867
1133	0.9869
1134	0.9868
1135	0.9867
1136	0.9871
1137	0.9864
1138	0.9865
1139	0.9866
1140	0.9862
1141	0.9862
1142	0.9869
1143	0.9870
1144	0.9869
1145	0.9864
1146	0.9865
1147	0.9868
1148	0.9866
1149	0.9864
1150	0.9866
1151	0.9864
1152	0.9869
1153	0.9864
1154	0.9873
1155	0.9872
1156	0.9864
1157	0.9869
1158	0.9866
1159	0.9866
1160	0.9865
1161	0.9860
1162	0.9867
1163	0.9863
1164	0.9861
1165	0.9861
1166	0.9867
1167	0.9866
1168	0.9860
1169	0.9863
1170	0.9864
1171	0.9861
1172	0.9862
1173	0.9862
1174	0.9858
1175	0.9861
1176	0.9860
1177	0.9866
1178	0.9865
1179	0.9861
1180	0.9857
1181	0.9865
1182	0.9867
1183	0.9862
1184	0.9862
1185	0.9862
1186	0.9862
1187	0.9858
1188	0.9861
1189	0.9857
1190	0.9857
1191	0.9853
1192	0.9858
1193	0.9858
1194	0.9860
1195	0.9862
1196	0.9852
1197	0.9855
1198	0.9857
1199	0.9854
1200	0.9857
1201	0.9857
1202	0.9855
1203	0.9854
1204	0.9857
1205	0.9860
1206	0.9853
1207	0.9856
1208	0.9856
1209	0.9852
1210	0.9852
1211	0.9854
1212	0.9851
1213	0.9851
1214	0.9849
1215	0.9847
1216	0.9845
1217	0.9851
1218	0.9854
1219	0.9850
1220	0.9851
1221	0.9855
1222	0.9849
1223	0.9848
1224	0.9849
1225	0.9852
1226	0.9851
1227	0.9849
1228	0.9852
1229	0.9852
1230	0.9852
1231	0.9854
1232	0.9847
1233	0.9848
1234	0.9854
1235	0.9852
1236	0.9851
1237	0.9853
1238	0.9859
1239	0.9856
1240	0.9848
1241	0.9852
1242	0.9855
1243	0.9854
1244	0.9851
1245	0.9857
1246	0.9853
1247	0.9847
1248	0.9846
1249	0.9853
1250	0.9853
1251	0.9854
1252	0.9852
1253	0.9850
1254	0.9852
1255	0.9853
1256	0.9850
1257	0.9844
1258	0.9843
1259	0.9845
1260	0.9847
1261	0.9845
1262	0.9845
1263	0.9850
1264	0.9849
1265	0.9842
1266	0.9844
1267	0.9843
1268	0.9843
1269	0.9845
1270	0.9850
1271	0.9847
1272	0.9845
1273	0.9839
1274	0.9841
1275	0.9844
1276	0.9847
1277	0.9853
1278	0.9851
1279	0.9850
1280	0.9845
1281	0.9843
1282	0.9845
1283	0.9844
1284	0.9846
1285	0.9847
1286	0.9845
1287	0.9845
1288	0.9847
1289	0.9845
1290	0.9845
1291	0.9846
1292	0.9846
1293	0.9844
1294	0.9842
1295	0.9842
1296	0.9843
1297	0.9844
1298	0.9844
1299	0.9845
1300	0.9848
1301	0.9845
1302	0.9842
1303	0.9843
1304	0.9844
1305	0.9847
1306	0.9849
1307	0.9844
1308	0.9839
1309	0.9839
1310	0.9841
1311	0.9842
1312	0.9842
1313	0.9842
1314	0.9840
1315	0.9841
1316	0.9846
1317	0.9845
1318	0.9841
1319	0.9841
1320	0.9840
1321	0.9842
1322	0.9843
1323	0.9843
1324	0.9844
1325	0.9842
1326	0.9839
1327	0.9837
1328	0.9840
1329	0.9841
1330	0.9843
1331	0.9838
1332	0.9833
1333	0.9835
1334	0.9842
1335	0.9844
1336	0.9839
1337	0.9833
1338	0.9834
1339	0.9838
1340	0.9835
1341	0.9834
1342	0.9835
1343	0.9838
1344	0.9838
1345	0.9836
1346	0.9834
1347	0.9833
1348	0.9834
1349	0.9835
1350	0.9836
1351	0.9836
1352	0.9832
1353	0.9830
1354	0.9835
1355	0.9839
1356	0.9837
1357	0.9833
1358	0.9832
1359	0.9829
1360	0.9831
1361	0.9828
1362	0.9827
1363	0.9827
1364	0.9836
1365	0.9835
1366	0.9837
1367	0.9839
1368	0.9833
1369	0.9833
1370	0.9833
1371	0.9836
1372	0.9837
1373	0.9842
1374	0.9841
1375	0.9843
1376	0.9848
1377	0.9848
1378	0.9847
1379	0.9843
1380	0.9840
1381	0.9840
1382	0.9836
1383	0.9834
1384	0.9834
1385	0.9828
1386	0.9823
1387	0.9823
1388	0.9828
1389	0.9822
1390	0.9822
1391	0.9825
1392	0.9829
1393	0.9831
1394	0.9826
1395	0.9828
1396	0.9829
1397	0.9827
1398	0.9827
1399	0.9828
1400	0.9825
1401	0.9826
1402	0.9828
1403	0.9826
1404	0.9826
1405	0.9830
1406	0.9825
1407	0.9828
1408	0.9832
1409	0.9832
1410	0.9841
1411	0.9842
1412	0.9839
1413	0.9847
1414	0.9852
1415	0.9850
1416	0.9840
1417	0.9836
1418	0.9839
1419	0.9837
1420	0.9840
1421	0.9841
1422	0.9838
1423	0.9834
1424	0.9834
1425	0.9838
1426	0.9836
1427	0.9829
1428	0.9835
1429	0.9839
1430	0.9842
1431	0.9840
1432	0.9841
1433	0.9845
1434	0.9842
1435	0.9843
1436	0.9844
1437	0.9854
1438	0.9856
1439	0.9857
1440	0.9845
1441	0.9842
1442	0.9846
1443	0.9846
1444	0.9850
1445	0.9843
1446	0.9842
1447	0.9836
1448	0.9835
1449	0.9844
1450	0.9843
1451	0.9838
1452	0.9843
1453	0.9840
1454	0.9833
1455	0.9836
1456	0.9841
1457	0.9834
1458	0.9838
1459	0.9842
1460	0.9841
1461	0.9836
1462	0.9830
1463	0.9840
1464	0.9844
1465	0.9842
1466	0.9845
1467	0.9839
1468	0.9841
1469	0.9845
1470	0.9848
1471	0.9842
1472	0.9845
1473	0.9845
1474	0.9849
1475	0.9846
1476	0.9848
1477	0.9847
1478	0.9848
1479	0.9839
1480	0.9845
1481	0.9835
1482	0.9838
1483	0.9839
1484	0.9842
1485	0.9837
1486	0.9845
1487	0.9843
1488	0.9844
1489	0.9832
1490	0.9841
1491	0.9832
1492	0.9842
1493	0.9839
1494	0.9838
1495	0.9855
1496	0.9845
1497	0.9841
1498	0.9842
1499	0.9843
1500	0.9847
1501	0.9839
1502	0.9847
1503	0.9842
1504	0.9840
1505	0.9841
1506	0.9839
1507	0.9845
1508	0.9848
1509	0.9840
1510	0.9839
1511	0.9846
1512	0.9842
1513	0.9842
1514	0.9835
1515	0.9837
1516	0.9832
1517	0.9842
1518	0.9838
1519	0.9843
1520	0.9845
1521	0.9838
1522	0.9829
1523	0.9839
1524	0.9843
1525	0.9844
1526	0.9842
1527	0.9831
1528	0.9839
1529	0.9846
1530	0.9833
1531	0.9840
1532	0.9845
1533	0.9841
1534	0.9843
1535	0.9843
1536	0.9842
1537	0.9833
1538	0.9839
1539	0.9844
1540	0.9847
1541	0.9845
1542	0.9845
1543	0.9842
1544	0.9843
1545	0.9838
1546	0.9835
1547	0.9831
1548	0.9836
1549	0.9836
1550	0.9831
1551	0.9839
1552	0.9844
1553	0.9831
1554	0.9834
1555	0.9837
1556	0.9837
1557	0.9835
1558	0.9841
1559	0.9853
1560	0.9839
1561	0.9833
1562	0.9842
1563	0.9833
1564	0.9833
1565	0.9839
1566	0.9841
1567	0.9840
1568	0.9841
1569	0.9835
1570	0.9841
1571	0.9841
1572	0.9837
1573	0.9838
1574	0.9837
1575	0.9836
1576	0.9842
1577	0.9841
1578	0.9838
1579	0.9837
1580	0.9837
1581	0.9836
1582	0.9837
1583	0.9835
1584	0.9832
1585	0.9838
1586	0.9838
1587	0.9846
1588	0.9847
1589	0.9844
1590	0.9848
1591	0.9847
1592	0.9843
1593	0.9844
1594	0.9842
1595	0.9843
1596	0.9841
1597	0.9846
1598	0.9844
1599	0.9843
1600	0.9840
1601	0.9843
1602	0.9845
1603	0.9837
1604	0.9842
1605	0.9837
1606	0.9833
1607	0.9829
1608	0.9826
1609	0.9834
1610	0.9839
1611	0.9834
1612	0.9827
1613	0.9830
1614	0.9836
1615	0.9839
1616	0.9838
1617	0.9828
1618	0.9838
1619	0.9841
1620	0.9837
1621	0.9832
1622	0.9834
1623	0.9831
1624	0.9824
1625	0.9828
1626	0.9832
1627	0.9828
1628	0.9823
1629	0.9833
1630	0.9834
1631	0.9825
1632	0.9829
1633	0.9827
1634	0.9822
1635	0.9827
1636	0.9828
1637	0.9827
1638	0.9824
1639	0.9820
1640	0.9817
1641	0.9814
1642	0.9820
1643	0.9824
1644	0.9823
1645	0.9824
1646	0.9829
1647	0.9827
1648	0.9826
1649	0.9819
1650	0.9821
1651	0.9825
1652	0.9823
1653	0.9816
1654	0.9816
1655	0.9825
1656	0.9826
1657	0.9818
1658	0.9818
1659	0.9828
1660	0.9829
1661	0.9831
1662	0.9822
1663	0.9810
1664	0.9818
1665	0.9818
1666	0.9817
1667	0.9816
1668	0.9820
1669	0.9819
1670	0.9815
1671	0.9816
1672	0.9814
1673	0.9819
1674	0.9818
1675	0.9820
1676	0.9818
1677	0.9823
1678	0.9822
1679	0.9810
1680	0.9816
1681	0.9809
1682	0.9806
1683	0.9808
1684	0.9810
1685	0.9810
1686	0.9804
1687	0.9812
1688	0.9821
1689	0.9817
1690	0.9805
1691	0.9808
1692	0.9807
1693	0.9807
1694	0.9812
1695	0.9823
1696	0.9822
1697	0.9817
1698	0.9804
1699	0.9798
1700	0.9805
1701	0.9809
1702	0.9799
1703	0.9799
1704	0.9797
1705	0.9804
1706	0.9803
1707	0.9807
1708	0.9814
1709	0.9817
1710	0.9813
1711	0.9813
1712	0.9807
1713	0.9801
1714	0.9797
1715	0.9800
1716	0.9801
1717	0.9803
1718	0.9806
1719	0.9807
1720	0.9797
1721	0.9796
1722	0.9806
1723	0.9808
1724	0.9801
1725	0.9803
1726	0.9802
1727	0.9797
1728	0.9805
1729	0.9797
1730	0.9810
1731	0.9807
1732	0.9804
1733	0.9810
1734	0.9805
1735	0.9809
1736	0.9804
1737	0.9806
1738	0.9808
1739	0.9804
1740	0.9804
1741	0.9802
1742	0.9796
1743	0.9800
1744	0.9807
1745	0.9807
1746	0.9802
1747	0.9794
1748	0.9797
1749	0.9805
1750	0.9801
1751	0.9804
1752	0.9807
1753	0.9812
1754	0.9811
1755	0.9806
1756	0.9812
1757	0.9812
1758	0.9796
1759	0.9813
1760	0.9822
1761	0.9811
1762	0.9812
1763	0.9810
1764	0.9813
1765	0.9826
1766	0.9821
1767	0.9811
1768	0.9811
1769	0.9818
1770	0.9804
1771	0.9815
1772	0.9807
1773	0.9810
1774	0.9806
1775	0.9817
1776	0.9820
1777	0.9800
1778	0.9803
1779	0.9786
1780	0.9811
1781	0.9815
1782	0.9823
1783	0.9803
1784	0.9813
1785	0.9792
1786	0.9800
1787	0.9791
1788	0.9801
1789	0.9810
1790	0.9804
1791	0.9808
1792	0.9811
1793	0.9808
1794	0.9805
1795	0.9824
1796	0.9812
1797	0.9803
1798	0.9793
1799	0.9817
1800	0.9812
1801	0.9819
1802	0.9801
1803	0.9789
1804	0.9793
1805	0.9789
1806	0.9806
1807	0.9791
1808	0.9791
1809	0.9808
1810	0.9799
1811	0.9776
1812	0.9793
1813	0.9801
1814	0.9803
1815	0.9796
1816	0.9760
1817	0.9777
1818	0.9775
1819	0.9774
1820	0.9773
1821	0.9776
1822	0.9780
1823	0.9769
1824	0.9759
1825	0.9789
1826	0.9771
1827	0.9772
1828	0.9779
1829	0.9769
1830	0.9776
1831	0.9766
1832	0.9791
1833	0.9773
1834	0.9755
1835	0.9763
1836	0.9709
1837	0.9759
1838	0.9792
1839	0.9769
1840	0.9736
1841	0.9744
1842	0.9773
1843	0.9756
1844	0.9765
1845	0.9723
1846	0.9759
1847	0.9747
1848	0.9762
1849	0.9738
1850	0.9757
1851	0.9753
1852	0.9757
1853	0.9744
1854	0.9750
1855	0.9759
1856	0.9754
1857	0.9757
1858	0.9750
1859	0.9750
1860	0.9751
1861	0.9756
1862	0.9781
1863	0.9733
1864	0.9775
1865	0.9727
1866	0.9762
1867	0.9743
1868	0.9748
1869	0.9763
1870	0.9773
1871	0.9767
1872	0.9753
1873	0.9732
1874	0.9710
1875	0.9751
1876	0.9743
1877	0.9752
1878	0.9738
1879	0.9734
1880	0.9723
1881	0.9741
1882	0.9750
1883	0.9729
1884	0.9732
1885	0.9756
1886	0.9738
1887	0.9765
1888	0.9736
1889	0.9748
1890	0.9770
1891	0.9739
1892	0.9724
1893	0.9730
1894	0.9746
1895	0.9779
1896	0.9760
1897	0.9771
1898	0.9729
1899	0.9698
1900	0.9739
1901	0.9706
1902	0.9669
1903	0.9726
1904	0.9758
1905	0.9772
1906	0.9744
1907	0.9729
1908	0.9734
1909	0.9714
1910	0.9731
1911	0.9725
1912	0.9716
1913	0.9718
1914	0.9759
1915	0.9747
1916	0.9729
1917	0.9734
1918	0.9731
1919	0.9740
1920	0.9732
1921	0.9735
1922	0.9726
1923	0.9696
1924	0.9672
1925	0.9716
1926	0.9722
1927	0.9714
1928	0.9698
1929	0.9748
1930	0.9721
1931	0.9734
1932	0.9735
1933	0.9711
1934	0.9711
1935	0.9729
1936	0.9727
1937	0.9703
1938	0.9720
1939	0.9728
1940	0.9733
1941	0.9736
1942	0.9737
1943	0.9698
1944	0.9716
1945	0.9725
1946	0.9727
1947	0.9743
1948	0.9760
1949	0.9743
1950	0.9729
1951	0.9712
1952	0.9720
1953	0.9702
1954	0.9709
1955	0.9726
1956	0.9722
1957	0.9731
1958	0.9731
1959	0.9738
1960	0.9734
1961	0.9722
1962	0.9715
1963	0.9699
1964	0.9690
1965	0.9705
1966	0.9711
1967	0.9697
1968	0.9711
1969	0.9721
1970	0.9711
1971	0.9730
1972	0.9727
1973	0.9692
1974	0.9690
1975	0.9700
1976	0.9693
1977	0.9695
1978	0.9699
1979	0.9710
1980	0.9704
1981	0.9700
1982	0.9708
1983	0.9682
1984	0.9683
1985	0.9677
1986	0.9658
1987	0.9692
1988	0.9713
1989	0.9691
1990	0.9687
1991	0.9692
1992	0.9685
1993	0.9672
1994	0.9670
1995	0.9677
1996	0.9672
1997	0.9650
1998	0.9636
1999	0.9671
2000	0.9672
2001	0.9631
2002	0.9641
2003	0.9664
2004	0.9666
2005	0.9648
2006	0.9634
2007	0.9630
2008	0.9637
2009	0.9644
2010	0.9647
2011	0.9630
2012	0.9624
2013	0.9637
2014	0.9618
2015	0.9621
2016	0.9628
2017	0.9629
2018	0.9640
2019	0.9640
2020	0.9636
2021	0.9627
2022	0.9612
2023	0.9566
2024	0.9543
2025	0.9553
2026	0.9554
2027	0.9582
2028	0.9600
2029	0.9608
2030	0.9599
2031	0.9573
2032	0.9570
2033	0.9555
2034	0.9570
2035	0.9598
2036	0.9567
2037	0.9569
2038	0.9581
2039	0.9573
2040	0.9536
2041	0.9548
2042	0.9558
2043	0.9559
2044	0.9523
2045	0.9519
2046	0.9520
2047	0.9524
2048	0.9537
2049	0.9533
2050	0.9542
2051	0.9533
2052	0.9533
2053	0.9509
2054	0.9512
2055	0.9551
2056	0.9544
2057	0.9544
2058	0.9527
2059	0.9525
2060	0.9516
2061	0.9519
2062	0.9519
2063	0.9500
2064	0.9526
2065	0.9546
2066	0.9525
2067	0.9478
2068	0.9469
2069	0.9521
2070	0.9482
2071	0.9468
2072	0.9480
2073	0.9476
2074	0.9480
2075	0.9500
2076	0.9466
2077	0.9478
2078	0.9511
2079	0.9501
2080	0.9494
2081	0.9491
2082	0.9466
2083	0.9451
2084	0.9505
