10AA01-0114-0086	
927	0.0950
928	0.0953
929	0.0954
930	0.0952
931	0.0954
932	0.0956
933	0.0953
934	0.0950
935	0.0953
936	0.0955
937	0.0955
938	0.0956
939	0.0953
940	0.0953
941	0.0962
942	0.0958
943	0.0956
944	0.0957
945	0.0959
946	0.0959
947	0.0961
948	0.0960
949	0.0958
950	0.0960
951	0.0963
952	0.0966
953	0.0967
954	0.0968
955	0.0964
956	0.0965
957	0.0965
958	0.0969
959	0.0968
960	0.0969
961	0.0971
962	0.0970
963	0.0969
964	0.0967
965	0.0967
966	0.0968
967	0.0971
968	0.0974
969	0.0974
970	0.0975
971	0.0975
972	0.0975
973	0.0977
974	0.0975
975	0.0974
976	0.0977
977	0.0978
978	0.0977
979	0.0979
980	0.0978
981	0.0979
982	0.0981
983	0.0982
984	0.0983
985	0.0982
986	0.0983
987	0.0984
988	0.0985
989	0.0985
990	0.0985
991	0.0984
992	0.0985
993	0.0987
994	0.0986
995	0.0986
996	0.0988
997	0.0989
998	0.0988
999	0.0989
1000	0.0991
1001	0.0991
1002	0.0992
1003	0.0993
1004	0.0992
1005	0.0994
1006	0.0994
1007	0.0993
1008	0.0993
1009	0.0997
1010	0.0997
1011	0.0995
1012	0.0996
1013	0.0996
1014	0.0998
1015	0.0999
1016	0.1000
1017	0.0999
1018	0.1000
1019	0.1002
1020	0.1003
1021	0.1004
1022	0.1004
1023	0.1004
1024	0.1004
1025	0.1004
1026	0.1005
1027	0.1006
1028	0.1005
1029	0.1006
1030	0.1007
1031	0.1008
1032	0.1009
1033	0.1009
1034	0.1011
1035	0.1011
1036	0.1010
1037	0.1011
1038	0.1012
1039	0.1013
1040	0.1014
1041	0.1014
1042	0.1015
1043	0.1015
1044	0.1015
1045	0.1017
1046	0.1018
1047	0.1018
1048	0.1019
1049	0.1019
1050	0.1018
1051	0.1019
1052	0.1019
1053	0.1020
1054	0.1020
1055	0.1021
1056	0.1023
1057	0.1025
1058	0.1025
1059	0.1024
1060	0.1024
1061	0.1024
1062	0.1025
1063	0.1027
1064	0.1027
1065	0.1027
1066	0.1029
1067	0.1029
1068	0.1029
1069	0.1030
1070	0.1030
1071	0.1031
1072	0.1031
1073	0.1031
1074	0.1033
1075	0.1034
1076	0.1034
1077	0.1034
1078	0.1036
1079	0.1036
1080	0.1036
1081	0.1037
1082	0.1037
1083	0.1038
1084	0.1038
1085	0.1039
1086	0.1039
1087	0.1040
1088	0.1040
1089	0.1042
1090	0.1042
1091	0.1043
1092	0.1043
1093	0.1043
1094	0.1044
1095	0.1045
1096	0.1046
1097	0.1046
1098	0.1046
1099	0.1047
1100	0.1048
1101	0.1049
1102	0.1049
1103	0.1050
1104	0.1050
1105	0.1049
1106	0.1051
1107	0.1052
1108	0.1052
1109	0.1052
1110	0.1053
1111	0.1054
1112	0.1054
1113	0.1055
1114	0.1055
1115	0.1057
1116	0.1058
1117	0.1057
1118	0.1058
1119	0.1059
1120	0.1060
1121	0.1061
1122	0.1061
1123	0.1061
1124	0.1061
1125	0.1062
1126	0.1062
1127	0.1063
1128	0.1064
1129	0.1065
1130	0.1065
1131	0.1064
1132	0.1066
1133	0.1065
1134	0.1067
1135	0.1069
1136	0.1068
1137	0.1070
1138	0.1070
1139	0.1069
1140	0.1070
1141	0.1072
1142	0.1072
1143	0.1072
1144	0.1073
1145	0.1074
1146	0.1074
1147	0.1074
1148	0.1073
1149	0.1077
1150	0.1077
1151	0.1078
1152	0.1077
1153	0.1078
1154	0.1079
1155	0.1080
1156	0.1080
1157	0.1081
1158	0.1082
1159	0.1083
1160	0.1082
1161	0.1083
1162	0.1084
1163	0.1083
1164	0.1085
1165	0.1087
1166	0.1085
1167	0.1086
1168	0.1086
1169	0.1087
1170	0.1088
1171	0.1088
1172	0.1089
1173	0.1090
1174	0.1090
1175	0.1091
1176	0.1090
1177	0.1091
1178	0.1091
1179	0.1091
1180	0.1092
1181	0.1094
1182	0.1094
1183	0.1093
1184	0.1097
1185	0.1094
1186	0.1095
1187	0.1096
1188	0.1098
1189	0.1096
1190	0.1098
1191	0.1099
1192	0.1101
1193	0.1101
1194	0.1102
1195	0.1103
1196	0.1103
1197	0.1102
1198	0.1104
1199	0.1104
1200	0.1102
1201	0.1104
1202	0.1105
1203	0.1104
1204	0.1105
1205	0.1106
1206	0.1106
1207	0.1107
1208	0.1107
1209	0.1107
1210	0.1109
1211	0.1108
1212	0.1109
1213	0.1110
1214	0.1111
1215	0.1112
1216	0.1111
1217	0.1110
1218	0.1112
1219	0.1114
1220	0.1115
1221	0.1116
1222	0.1116
1223	0.1118
1224	0.1118
1225	0.1118
1226	0.1119
1227	0.1120
1228	0.1121
1229	0.1121
1230	0.1122
1231	0.1123
1232	0.1123
1233	0.1124
1234	0.1124
1235	0.1125
1236	0.1125
1237	0.1126
1238	0.1125
1239	0.1125
1240	0.1127
1241	0.1127
1242	0.1128
1243	0.1130
1244	0.1130
1245	0.1130
1246	0.1130
1247	0.1133
1248	0.1132
1249	0.1130
1250	0.1133
1251	0.1132
1252	0.1134
1253	0.1134
1254	0.1135
1255	0.1135
1256	0.1135
1257	0.1134
1258	0.1137
1259	0.1139
1260	0.1138
1261	0.1139
1262	0.1137
1263	0.1140
1264	0.1140
1265	0.1141
1266	0.1142
1267	0.1141
1268	0.1141
1269	0.1143
1270	0.1145
1271	0.1144
1272	0.1147
1273	0.1146
1274	0.1146
1275	0.1147
1276	0.1145
1277	0.1146
1278	0.1147
1279	0.1147
1280	0.1149
1281	0.1149
1282	0.1149
1283	0.1151
1284	0.1150
1285	0.1150
1286	0.1151
1287	0.1153
1288	0.1151
1289	0.1152
1290	0.1154
1291	0.1154
1292	0.1155
1293	0.1156
1294	0.1157
1295	0.1157
1296	0.1157
1297	0.1159
1298	0.1159
1299	0.1159
1300	0.1159
1301	0.1161
1302	0.1161
1303	0.1161
1304	0.1163
1305	0.1162
1306	0.1161
1307	0.1163
1308	0.1164
1309	0.1164
1310	0.1165
1311	0.1165
1312	0.1165
1313	0.1167
1314	0.1166
1315	0.1167
1316	0.1167
1317	0.1169
1318	0.1169
1319	0.1169
1320	0.1170
1321	0.1171
1322	0.1171
1323	0.1173
1324	0.1172
1325	0.1172
1326	0.1172
1327	0.1172
1328	0.1172
1329	0.1175
1330	0.1173
1331	0.1174
1332	0.1176
1333	0.1177
1334	0.1177
1335	0.1177
1336	0.1178
1337	0.1178
1338	0.1179
1339	0.1180
1340	0.1180
1341	0.1182
1342	0.1180
1343	0.1182
1344	0.1184
1345	0.1184
1346	0.1184
1347	0.1185
1348	0.1187
1349	0.1186
1350	0.1187
1351	0.1186
1352	0.1187
1353	0.1188
1354	0.1189
1355	0.1189
1356	0.1191
1357	0.1189
1358	0.1188
1359	0.1190
1360	0.1193
1361	0.1192
1362	0.1193
1363	0.1194
1364	0.1195
1365	0.1196
1366	0.1196
1367	0.1196
1368	0.1198
1369	0.1199
1370	0.1198
1371	0.1197
1372	0.1199
1373	0.1200
1374	0.1201
1375	0.1201
1376	0.1200
1377	0.1202
1378	0.1203
1379	0.1203
1380	0.1204
1381	0.1204
1382	0.1204
1383	0.1205
1384	0.1204
1385	0.1206
1386	0.1208
1387	0.1207
1388	0.1206
1389	0.1208
1390	0.1209
1391	0.1211
1392	0.1213
1393	0.1210
1394	0.1212
1395	0.1214
1396	0.1213
1397	0.1214
1398	0.1213
1399	0.1213
1400	0.1215
1401	0.1216
1402	0.1214
1403	0.1215
1404	0.1215
1405	0.1218
1406	0.1219
1407	0.1218
1408	0.1220
1409	0.1220
1410	0.1220
1411	0.1221
1412	0.1222
1413	0.1224
1414	0.1224
1415	0.1224
1416	0.1225
1417	0.1226
1418	0.1226
1419	0.1225
1420	0.1226
1421	0.1226
1422	0.1227
1423	0.1229
1424	0.1228
1425	0.1228
1426	0.1232
1427	0.1232
1428	0.1232
1429	0.1233
1430	0.1233
1431	0.1234
1432	0.1234
1433	0.1234
1434	0.1234
1435	0.1235
1436	0.1237
1437	0.1236
1438	0.1236
1439	0.1238
1440	0.1241
1441	0.1242
1442	0.1241
1443	0.1239
1444	0.1239
1445	0.1240
1446	0.1242
1447	0.1241
1448	0.1242
1449	0.1244
1450	0.1245
1451	0.1245
1452	0.1245
1453	0.1246
1454	0.1246
1455	0.1247
1456	0.1247
1457	0.1246
1458	0.1248
1459	0.1250
1460	0.1249
1461	0.1249
1462	0.1250
1463	0.1251
1464	0.1252
1465	0.1253
1466	0.1253
1467	0.1254
1468	0.1253
1469	0.1255
1470	0.1255
1471	0.1254
1472	0.1254
1473	0.1256
1474	0.1257
1475	0.1259
1476	0.1259
1477	0.1259
1478	0.1260
1479	0.1261
1480	0.1262
1481	0.1262
1482	0.1262
1483	0.1262
1484	0.1262
1485	0.1263
1486	0.1264
1487	0.1264
1488	0.1265
1489	0.1266
1490	0.1266
1491	0.1266
1492	0.1269
1493	0.1271
1494	0.1271
1495	0.1271
1496	0.1273
1497	0.1272
1498	0.1271
1499	0.1271
1500	0.1271
1501	0.1273
1502	0.1273
1503	0.1273
1504	0.1274
1505	0.1276
1506	0.1276
1507	0.1275
1508	0.1276
1509	0.1275
1510	0.1277
1511	0.1280
1512	0.1280
1513	0.1280
1514	0.1277
1515	0.1278
1516	0.1279
1517	0.1281
1518	0.1282
1519	0.1283
1520	0.1284
1521	0.1283
1522	0.1282
1523	0.1284
1524	0.1284
1525	0.1286
1526	0.1284
1527	0.1285
1528	0.1286
1529	0.1286
1530	0.1288
1531	0.1292
1532	0.1289
1533	0.1285
1534	0.1286
1535	0.1293
1536	0.1293
1537	0.1291
1538	0.1291
1539	0.1292
1540	0.1291
1541	0.1292
1542	0.1296
1543	0.1295
1544	0.1295
1545	0.1296
1546	0.1294
1547	0.1296
1548	0.1299
1549	0.1298
1550	0.1298
1551	0.1299
1552	0.1298
1553	0.1300
