52301-1-1	
1110	0.1193
1111	0.1191
1112	0.1187
1113	0.1192
1114	0.1193
1115	0.1196
1116	0.1194
1117	0.1198
1118	0.1198
1119	0.1190
1120	0.1194
1121	0.1196
1122	0.1199
1123	0.1195
1124	0.1195
1125	0.1196
1126	0.1196
1127	0.1192
1128	0.1196
1129	0.1199
1130	0.1192
1131	0.1192
1132	0.1196
1133	0.1196
1134	0.1197
1135	0.1198
1136	0.1199
1137	0.1196
1138	0.1200
1139	0.1206
1140	0.1200
1141	0.1203
1142	0.1201
1143	0.1201
1144	0.1201
1145	0.1204
1146	0.1204
1147	0.1206
1148	0.1198
1149	0.1201
1150	0.1206
1151	0.1206
1152	0.1202
1153	0.1205
1154	0.1199
1155	0.1203
1156	0.1200
1157	0.1206
1158	0.1205
1159	0.1203
1160	0.1201
1161	0.1206
1162	0.1208
1163	0.1212
1164	0.1208
1165	0.1211
1166	0.1207
1167	0.1208
1168	0.1206
1169	0.1208
1170	0.1211
1171	0.1213
1172	0.1211
1173	0.1213
1174	0.1212
1175	0.1208
1176	0.1208
1177	0.1209
1178	0.1210
1179	0.1205
1180	0.1205
1181	0.1208
1182	0.1210
1183	0.1208
1184	0.1207
1185	0.1208
1186	0.1208
1187	0.1211
1188	0.1215
1189	0.1222
1190	0.1219
1191	0.1221
1192	0.1217
1193	0.1224
1194	0.1222
1195	0.1221
1196	0.1215
1197	0.1217
1198	0.1221
1199	0.1216
1200	0.1220
1201	0.1225
1202	0.1217
1203	0.1223
1204	0.1225
1205	0.1223
1206	0.1230
1207	0.1226
1208	0.1224
1209	0.1223
1210	0.1226
1211	0.1227
1212	0.1225
1213	0.1224
1214	0.1227
1215	0.1227
1216	0.1229
1217	0.1231
1218	0.1230
1219	0.1231
1220	0.1232
1221	0.1232
1222	0.1228
1223	0.1234
1224	0.1232
1225	0.1230
1226	0.1233
1227	0.1230
1228	0.1230
1229	0.1232
1230	0.1231
1231	0.1228
1232	0.1231
1233	0.1233
1234	0.1232
1235	0.1234
1236	0.1231
1237	0.1233
1238	0.1234
1239	0.1236
1240	0.1232
1241	0.1235
1242	0.1236
1243	0.1236
1244	0.1232
1245	0.1232
1246	0.1232
1247	0.1234
1248	0.1234
1249	0.1239
1250	0.1237
1251	0.1235
1252	0.1231
1253	0.1233
1254	0.1235
1255	0.1235
1256	0.1239
1257	0.1238
1258	0.1237
1259	0.1237
1260	0.1237
1261	0.1239
1262	0.1239
1263	0.1242
1264	0.1239
1265	0.1239
1266	0.1239
1267	0.1239
1268	0.1242
1269	0.1243
1270	0.1241
1271	0.1243
1272	0.1243
1273	0.1242
1274	0.1242
1275	0.1241
1276	0.1241
1277	0.1243
1278	0.1244
1279	0.1243
1280	0.1242
1281	0.1246
1282	0.1245
1283	0.1243
1284	0.1243
1285	0.1245
1286	0.1246
1287	0.1242
1288	0.1244
1289	0.1246
1290	0.1246
1291	0.1249
1292	0.1249
1293	0.1246
1294	0.1243
1295	0.1246
1296	0.1247
1297	0.1246
1298	0.1250
1299	0.1249
1300	0.1249
1301	0.1249
1302	0.1250
1303	0.1253
1304	0.1251
1305	0.1249
1306	0.1249
1307	0.1254
1308	0.1255
1309	0.1255
1310	0.1254
1311	0.1254
1312	0.1253
1313	0.1251
1314	0.1250
1315	0.1252
1316	0.1253
1317	0.1251
1318	0.1249
1319	0.1251
1320	0.1252
1321	0.1249
1322	0.1251
1323	0.1252
1324	0.1253
1325	0.1254
1326	0.1250
1327	0.1248
1328	0.1249
1329	0.1249
1330	0.1247
1331	0.1246
1332	0.1247
1333	0.1250
1334	0.1251
1335	0.1250
1336	0.1246
1337	0.1244
1338	0.1247
1339	0.1247
1340	0.1246
1341	0.1243
1342	0.1244
1343	0.1244
1344	0.1244
1345	0.1248
1346	0.1247
1347	0.1246
1348	0.1247
1349	0.1247
1350	0.1250
1351	0.1250
1352	0.1251
1353	0.1254
1354	0.1255
1355	0.1259
1356	0.1263
1357	0.1263
1358	0.1264
1359	0.1263
1360	0.1266
1361	0.1271
1362	0.1270
1363	0.1272
1364	0.1270
1365	0.1268
1366	0.1272
1367	0.1271
1368	0.1270
1369	0.1269
1370	0.1264
1371	0.1261
1372	0.1263
1373	0.1266
1374	0.1265
1375	0.1262
1376	0.1260
1377	0.1260
1378	0.1266
1379	0.1263
1380	0.1261
1381	0.1265
1382	0.1265
1383	0.1262
1384	0.1267
1385	0.1263
1386	0.1264
1387	0.1270
1388	0.1273
1389	0.1271
1390	0.1273
1391	0.1276
1392	0.1275
1393	0.1270
1394	0.1271
1395	0.1269
1396	0.1269
1397	0.1272
1398	0.1271
1399	0.1270
1400	0.1271
1401	0.1267
1402	0.1271
1403	0.1273
1404	0.1273
1405	0.1274
1406	0.1272
1407	0.1268
1408	0.1271
1409	0.1275
1410	0.1278
1411	0.1274
1412	0.1269
1413	0.1271
1414	0.1272
1415	0.1277
1416	0.1277
1417	0.1270
1418	0.1272
1419	0.1274
1420	0.1270
1421	0.1269
1422	0.1276
1423	0.1273
1424	0.1273
1425	0.1276
1426	0.1275
1427	0.1276
1428	0.1272
1429	0.1273
1430	0.1278
1431	0.1275
1432	0.1280
1433	0.1281
1434	0.1277
1435	0.1278
1436	0.1278
1437	0.1277
1438	0.1271
1439	0.1278
1440	0.1281
1441	0.1283
1442	0.1288
1443	0.1274
1444	0.1279
1445	0.1285
1446	0.1282
1447	0.1284
1448	0.1280
1449	0.1283
1450	0.1283
1451	0.1284
1452	0.1283
1453	0.1280
1454	0.1284
1455	0.1284
1456	0.1283
1457	0.1285
1458	0.1279
1459	0.1284
1460	0.1285
1461	0.1285
1462	0.1288
1463	0.1285
1464	0.1281
1465	0.1289
1466	0.1286
1467	0.1285
1468	0.1288
1469	0.1288
1470	0.1289
1471	0.1285
1472	0.1292
1473	0.1285
1474	0.1285
1475	0.1291
1476	0.1295
1477	0.1284
1478	0.1291
1479	0.1293
1480	0.1288
1481	0.1295
1482	0.1294
1483	0.1295
1484	0.1295
1485	0.1291
1486	0.1295
1487	0.1290
1488	0.1291
1489	0.1295
1490	0.1286
1491	0.1281
1492	0.1292
1493	0.1295
1494	0.1292
1495	0.1288
1496	0.1296
1497	0.1295
1498	0.1289
1499	0.1308
1500	0.1294
1501	0.1298
1502	0.1295
1503	0.1291
1504	0.1292
1505	0.1298
1506	0.1296
1507	0.1301
1508	0.1294
1509	0.1303
1510	0.1297
1511	0.1301
1512	0.1293
1513	0.1300
1514	0.1296
1515	0.1303
1516	0.1298
1517	0.1297
1518	0.1308
1519	0.1305
1520	0.1299
1521	0.1303
1522	0.1299
1523	0.1305
1524	0.1302
1525	0.1299
1526	0.1298
1527	0.1293
1528	0.1298
1529	0.1305
1530	0.1302
1531	0.1306
1532	0.1306
1533	0.1305
1534	0.1306
1535	0.1301
1536	0.1300
1537	0.1308
1538	0.1309
1539	0.1303
1540	0.1314
1541	0.1310
1542	0.1302
1543	0.1302
1544	0.1312
1545	0.1303
1546	0.1309
1547	0.1296
1548	0.1297
1549	0.1308
1550	0.1299
1551	0.1303
1552	0.1306
1553	0.1308
1554	0.1310
1555	0.1307
1556	0.1311
1557	0.1306
1558	0.1304
1559	0.1303
1560	0.1309
1561	0.1311
1562	0.1312
1563	0.1308
1564	0.1312
1565	0.1309
1566	0.1308
1567	0.1309
1568	0.1309
1569	0.1309
1570	0.1309
1571	0.1310
1572	0.1311
1573	0.1305
1574	0.1312
1575	0.1305
1576	0.1311
1577	0.1316
1578	0.1309
1579	0.1307
1580	0.1314
1581	0.1311
1582	0.1313
1583	0.1313
1584	0.1311
1585	0.1313
1586	0.1317
1587	0.1316
1588	0.1317
1589	0.1310
1590	0.1310
1591	0.1313
1592	0.1312
1593	0.1316
1594	0.1314
1595	0.1317
1596	0.1324
1597	0.1317
1598	0.1314
1599	0.1320
1600	0.1324
1601	0.1321
1602	0.1317
1603	0.1315
1604	0.1313
1605	0.1311
1606	0.1311
1607	0.1317
1608	0.1321
1609	0.1323
1610	0.1320
1611	0.1320
1612	0.1323
1613	0.1326
1614	0.1321
1615	0.1324
1616	0.1328
1617	0.1328
1618	0.1327
1619	0.1328
1620	0.1326
1621	0.1322
1622	0.1318
1623	0.1324
1624	0.1324
1625	0.1326
1626	0.1322
1627	0.1321
1628	0.1321
1629	0.1320
1630	0.1325
1631	0.1325
1632	0.1330
1633	0.1333
1634	0.1330
1635	0.1331
1636	0.1331
1637	0.1324
1638	0.1324
1639	0.1322
1640	0.1324
1641	0.1323
1642	0.1325
1643	0.1331
1644	0.1324
1645	0.1321
1646	0.1319
1647	0.1325
1648	0.1335
1649	0.1334
1650	0.1334
1651	0.1329
1652	0.1325
1653	0.1330
1654	0.1330
1655	0.1324
1656	0.1325
1657	0.1329
1658	0.1328
1659	0.1327
1660	0.1328
1661	0.1323
1662	0.1318
1663	0.1318
1664	0.1320
1665	0.1327
1666	0.1333
1667	0.1341
1668	0.1348
1669	0.1357
1670	0.1363
1671	0.1357
1672	0.1351
1673	0.1345
1674	0.1337
1675	0.1339
1676	0.1340
1677	0.1339
1678	0.1343
1679	0.1340
1680	0.1337
1681	0.1338
1682	0.1336
1683	0.1335
1684	0.1335
1685	0.1335
1686	0.1334
1687	0.1339
1688	0.1345
1689	0.1347
1690	0.1345
1691	0.1345
1692	0.1345
1693	0.1346
1694	0.1352
1695	0.1354
1696	0.1351
1697	0.1341
1698	0.1339
1699	0.1339
1700	0.1340
1701	0.1342
1702	0.1343
1703	0.1341
1704	0.1341
1705	0.1342
1706	0.1336
1707	0.1341
1708	0.1341
1709	0.1348
1710	0.1352
1711	0.1347
1712	0.1343
1713	0.1350
1714	0.1350
1715	0.1352
1716	0.1346
1717	0.1339
1718	0.1347
1719	0.1349
1720	0.1346
1721	0.1351
1722	0.1349
1723	0.1347
1724	0.1352
1725	0.1348
1726	0.1347
1727	0.1349
1728	0.1353
1729	0.1347
1730	0.1355
1731	0.1352
1732	0.1347
1733	0.1344
1734	0.1346
1735	0.1358
1736	0.1356
1737	0.1359
1738	0.1357
1739	0.1340
1740	0.1344
1741	0.1351
1742	0.1355
1743	0.1368
1744	0.1358
1745	0.1343
1746	0.1344
1747	0.1367
1748	0.1360
1749	0.1360
1750	0.1360
1751	0.1364
1752	0.1363
1753	0.1363
1754	0.1345
1755	0.1357
1756	0.1344
1757	0.1352
1758	0.1351
1759	0.1351
1760	0.1343
1761	0.1362
1762	0.1365
1763	0.1360
1764	0.1369
1765	0.1369
1766	0.1373
1767	0.1357
1768	0.1360
1769	0.1356
1770	0.1353
1771	0.1348
1772	0.1359
1773	0.1368
1774	0.1351
1775	0.1360
1776	0.1366
1777	0.1364
1778	0.1359
1779	0.1357
1780	0.1356
1781	0.1362
1782	0.1356
1783	0.1352
1784	0.1370
1785	0.1355
1786	0.1362
1787	0.1343
